Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,959826,1,1040CFPL23,1040CFPL23,F,0.01,
BSE,959825,1,628PGCIL31,628PGCIL31,F,0.01,
BSE,959824,1,1150AFPL23,1150AFPL23,F,0.01,
BSE,959823,1,725PNB30,725PNB30,F,0.01,
BSE,959822,1,75GPL23,75GPL23,F,0.01,
BSE,959821,1,11IHFL23A,11IHFL23A,F,0.01,
BSE,959820,1,688PFCL31,688PFCL31,F,0.01,
BSE,959818,1,577PFCL25,577PFCL25,F,0.01,
BSE,959816,1,85PCHF23,85PCHF23,F,0.01,
BSE,959814,1,104CFPL23,104CFPL23,F,0.01,
BSE,959812,1,1125FMFL23,1125FMFL23,F,0.01,
BSE,959811,1,537KMPL23,537KMPL23,F,0.01,
BSE,959810,1,11AFSL23A,11AFSL23A,F,0.01,
BSE,959809,1,MFL24JUL20,MFL24JUL20,F,0.01,
BSE,959808,1,91JMFPL23,91JMFPL23,F,0.01,
BSE,959806,1,54IOCL25,54IOCL25,F,0.01,
BSE,959805,1,995CAGL23,995CAGL23,F,0.01,
BSE,959804,1,1005CIF23,1005CIF23,F,0.01,
BSE,959803,1,945MOHFL23,945MOHFL23,F,0.01,
BSE,959801,1,115FMFL23,115FMFL23,F,0.01,
BSE,959800,1,85BOBPERP,85BOBPERP,F,0.01,
BSE,959799,1,629NTPC31,629NTPC31,F,0.01,
BSE,959798,1,12SFIS23,12SFIS23,F,0.01,
BSE,959797,1,59MMFSL23,59MMFSL23,F,0.01,
BSE,959795,1,69RECL31,69RECL31,F,0.01,
BSE,959794,1,59RECL25,59RECL25,F,0.01,
BSE,959792,1,11723SML24,11723SML24,F,0.01,
BSE,959791,1,11723SML26,11723SML26,F,0.01,
BSE,959790,1,641IRFC31,641IRFC31,F,0.01,
BSE,959788,10,EFI28JUL20A,EFI28JUL20A,F,0.01,
BSE,959787,10,EFIL28JUL20,EFIL28JUL20,F,0.01,
BSE,959786,1,1025XFPL23A,1025XFPL23A,F,0.01,
BSE,959785,1,84MFL23,84MFL23,F,0.01,
BSE,959784,1,975VFS23,975VFS23,F,0.01,
BSE,959783,1,1175AFPL23,1175AFPL23,F,0.01,
BSE,959782,1,615AFL23,615AFL23,F,0.01,
BSE,959780,1,815LTFL30,815LTFL30,F,0.01,
BSE,959774,1,736JKCL24,736JKCL24,F,0.01,
BSE,959773,1,1025IKFFL23,1025IKFFL23,F,0.01,
BSE,959772,1,85MFL22A,85MFL22A,F,0.01,
BSE,959768,1,88CGCL23A,88CGCL23A,F,0.01,
BSE,959766,1,94MHFL23,94MHFL23,F,0.01,
BSE,959765,1,1050KFIL23,1050KFIL23,F,0.01,
BSE,959763,1,79LTFL24,79LTFL24,F,0.01,
BSE,959762,1,795LTFL25,795LTFL25,F,0.01,
BSE,959761,1,116AFPL23,116AFPL23,F,0.01,
BSE,959760,1,578CPCL25,578CPCL25,F,0.01,
BSE,959759,1,105PDL23,105PDL23,F,0.01,
BSE,959758,1,115LIFC23,115LIFC23,F,0.01,
BSE,959757,1,MFL9JUL20,MFL9JUL20,F,0.01,
BSE,959756,1,825BOBPER,825BOBPER,F,0.01,
BSE,959754,1,857IIL30,857IIL30,F,0.01,
BSE,959750,1,775MRHFL25,775MRHFL25,F,0.01,
BSE,959749,1,745MRHFL23,745MRHFL23,F,0.01,
BSE,959748,1,69MRHFL22,69MRHFL22,F,0.01,
BSE,959747,1,9DFPL23,9DFPL23,F,0.01,
BSE,959746,1,104NACL23,104NACL23,F,0.01,
BSE,959745,1,115MFIL23A,115MFIL23A,F,0.01,
BSE,959744,1,1090SKFL23,1090SKFL23,F,0.01,
BSE,959743,1,115AFSL23,115AFSL23,F,0.01,
BSE,959742,1,1005CAGL23,1005CAGL23,F,0.01,
BSE,959741,1,12KFL23A,12KFL23A,F,0.01,
BSE,959738,1,12AFL23,12AFL23,F,0.01,
BSE,959735,1,95MFL30,95MFL30,F,0.01,
BSE,959734,1,585BORL23,585BORL23,F,0.01,
BSE,959732,1,11IKFHFL23,11IKFHFL23,F,0.01,
BSE,959730,10,115ISFL23B,115ISFL23B,F,0.01,
BSE,959728,1,18NREPL27,18NREPL27,F,0.01,
BSE,959726,1,875PHFL23,875PHFL23,F,0.01,
BSE,959724,1,10CAGL23,10CAGL23,F,0.01,
BSE,959723,1,1050CAGL23,1050CAGL23,F,0.01,
BSE,959722,1,11IHFL23,11IHFL23,F,0.01,
BSE,959721,1,75IIL25,75IIL25,F,0.01,
BSE,959719,1,10SHDFC23A,10SHDFC23A,F,0.01,
BSE,959718,1,64JDFI22,64JDFI22,F,0.01,
BSE,959716,1,1104CIFC23,1104CIFC23,F,0.01,
BSE,959715,1,12AFIL23,12AFIL23,F,0.01,
BSE,959714,1,11BML23C,11BML23C,F,0.01,
BSE,959713,1,1060USFBL23,1060USFBL23,F,0.01,
BSE,959712,1,673IRFC35,673IRFC35,F,0.01,
BSE,959711,1,128LFL23,128LFL23,F,0.01,
BSE,959709,1,925ICFL23,925ICFL23,F,0.01,
BSE,959707,1,12KFL23,12KFL23,F,0.01,
BSE,959706,1,83MFL22,83MFL22,F,0.01,
BSE,959704,1,95AFS23,95AFS23,F,0.01,
BSE,959703,1,13SFIS23,13SFIS23,F,0.01,
BSE,959702,1,1275SFIS23,1275SFIS23,F,0.01,
BSE,959701,1,17PED27,17PED27,F,0.01,
BSE,959700,1,11AFIGPL23,11AFIGPL23,F,0.01,
BSE,959699,1,11SKFL23C,11SKFL23C,F,0.01,
BSE,959698,1,536RECL23,536RECL23,F,0.01,
BSE,959696,1,975EFL23B,975EFL23B,F,0.01,
BSE,959695,1,11FSBFL23A,11FSBFL23A,F,0.01,
BSE,959694,1,99CHFL23,99CHFL23,F,0.01,
BSE,959693,1,LTCL7JULY20,LTCL7JULY20,F,0.01,
BSE,959692,1,955IIDL25A,955IIDL25A,F,0.01,
BSE,959691,1,88CGCL23,88CGCL23,F,0.01,
BSE,959690,1,611BPCL25,611BPCL25,F,0.01,
BSE,959688,1,1135SM23,1135SM23,F,0.01,
BSE,959687,1,1125SCN23,1125SCN23,F,0.01,
BSE,959686,1,1135SRG23,1135SRG23,F,0.01,
BSE,959685,1,975IFSL23A,975IFSL23A,F,0.01,
BSE,959684,1,975IFSL23,975IFSL23,F,0.01,
BSE,959682,1,94IFCIL23,94IFCIL23,F,0.01,
BSE,959681,1,698NHAI35,698NHAI35,F,0.01,
BSE,959680,1,95ACPL23,95ACPL23,F,0.01,
BSE,959679,10,CC24JUN20,CC24JUN20,F,0.01,
BSE,959677,1,11723UHFP23,11723UHFP23,F,0.01,
BSE,959676,1,9PHFL23,9PHFL23,F,0.01,
BSE,959675,1,1125NACL23,1125NACL23,F,0.01,
BSE,959674,1,115SMPL23,115SMPL23,F,0.01,
BSE,959673,1,13SMP23,13SMP23,F,0.01,
BSE,959672,1,125SMPL23,125SMPL23,F,0.01,
BSE,959671,1,115SMP23,115SMP23,F,0.01,
BSE,959670,1,985OPG23,985OPG23,F,0.01,
BSE,959669,1,135LFL23,135LFL23,F,0.01,
BSE,959668,1,1010PAL23,1010PAL23,F,0.01,
BSE,959667,1,92JFHL23,92JFHL23,F,0.01,
BSE,959666,1,81LTFL30,81LTFL30,F,0.01,
BSE,959665,1,1085AF23,1085AF23,F,0.01,
BSE,959664,1,979MOHFL23,979MOHFL23,F,0.01,
BSE,959663,1,95MOHFL23,95MOHFL23,F,0.01,
BSE,959662,1,1025AF23,1025AF23,F,0.01,
BSE,959661,1,96MOHFL23,96MOHFL23,F,0.01,
BSE,959660,1,91JFPL23,91JFPL23,F,0.01,
BSE,959659,1,1145VFS23,1145VFS23,F,0.01,
BSE,959658,1,1125FMFL23,1125FMFL23,F,0.01,
BSE,959656,1,105IRFPL23,105IRFPL23,F,0.01,
BSE,959654,1,11BML23B,11BML23B,F,0.01,
BSE,959653,1,685SCPSL23,685SCPSL23,F,0.01,
BSE,959652,1,875PCHFL23A,875PCHFL23A,F,0.01,
BSE,959651,1,999CHFL23,999CHFL23,F,0.01,
BSE,959650,1,11SKFL23B,11SKFL23B,F,0.01,
BSE,959649,1,11SKFL23A,11SKFL23A,F,0.01,
BSE,959648,1,115AFPL23A,115AFPL23A,F,0.01,
BSE,959647,1,9FFSL23,9FFSL23,F,0.01,
BSE,959646,1,18SEL25,18SEL25,F,0.01,
BSE,959645,1,105AFPL23,105AFPL23,F,0.01,
BSE,959644,1,125USFB27,125USFB27,F,0.01,
BSE,959643,1,867DBL23,867DBL23,F,0.01,
BSE,959642,1,115ISFL23A,115ISFL23A,F,0.01,
BSE,959639,1,11AML23A,11AML23A,F,0.01,
BSE,959638,1,11SKFL23,11SKFL23,F,0.01,
BSE,959637,1,679NABARD35,679NABARD35,F,0.01,
BSE,959634,1,119UHFPL23,119UHFPL23,F,0.01,
BSE,959633,1,1007MCSL23,1007MCSL23,F,0.01,
BSE,959632,1,95AFSL23,95AFSL23,F,0.01,
BSE,959631,2,1125SKFL23B,1125SKFL23B,F,0.01,
BSE,959630,1,10SHDFC23,10SHDFC23,F,0.01,
BSE,959627,1,656MMFSL22,656MMFSL22,F,0.01,
BSE,959622,1,135MFIL23,135MFIL23,F,0.01,
BSE,959621,1,85MFL22,85MFL22,F,0.01,
BSE,959620,1,95MFL25A,95MFL25A,F,0.01,
BSE,959618,1,95VHFCL23,95VHFCL23,F,0.01,
BSE,959617,1,1310KFL23,1310KFL23,F,0.01,
BSE,959613,1,1275SSFL23,1275SSFL23,F,0.01,
BSE,959612,1,1115IHFL23,1115IHFL23,F,0.01,
BSE,959611,1,76KFL23,76KFL23,F,0.01,
BSE,959610,1,10CIFL23,10CIFL23,F,0.01,
BSE,959609,1,1058BML23,1058BML23,F,0.01,
BSE,959608,1,85MHL23,85MHL23,F,0.01,
BSE,959606,1,1275AFPL23,1275AFPL23,F,0.01,
BSE,959605,1,1125AML23,1125AML23,F,0.01,
BSE,959604,1,114FMFL23,114FMFL23,F,0.01,
BSE,959603,1,11AFSL23,11AFSL23,F,0.01,
BSE,959602,1,11FSBFL23,11FSBFL23,F,0.01,
BSE,959601,1,95HFFCI23,95HFFCI23,F,0.01,
BSE,959600,1,66835HFSL23,66835HFSL23,F,0.01,
BSE,959596,1,84IGT23,84IGT23,F,0.01,
BSE,959594,1,725AFL23,725AFL23,F,0.01,
BSE,959593,1,11BML23A,11BML23A,F,0.01,
BSE,959592,1,988AFL23,988AFL23,F,0.01,
BSE,959590,1,965VHFCL23,965VHFCL23,F,0.01,
BSE,959589,1,9CGCL23,9CGCL23,F,0.01,
BSE,959587,1,7AFL23,7AFL23,F,0.01,
BSE,959586,1,619MML25,619MML25,F,0.01,
